beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
3,1.0,1200.0,sqft,5786.0,sqft,98105,47.6633,-122.3022,1099950.0
4,4.0,2555.0,sqft,4000.0,sqft,98105,47.6633,-122.3022,1500000.0
2,1.5,900.0,sqft,900.0,sqft,98105,47.6633,-122.3022,568000.0
3,2.5,1280.0,sqft,1845.0,sqft,98105,47.6633,-122.3022,900000.0
2,3.0,1740.0,sqft,4148.0,sqft,98105,47.6633,-122.3022,1395000.0
5,3.5,4510.0,sqft,6000.0,sqft,98105,47.6633,-122.3022,3150000.0
4,2.0,1850.0,sqft,3570.0,sqft,98105,47.6633,-122.3022,1200000.0
4,3.0,3610.0,sqft,8037.0,sqft,98105,47.6633,-122.3022,2330000.0
3,3.5,3130.0,sqft,0.28,acre,98105,47.6633,-122.3022,2350000.0
2,1.0,670.0,sqft,4500.0,sqft,98106,47.5344,-122.3547,490000.0
4,1.0,1190.0,sqft,7320.0,sqft,98106,47.5344,-122.3547,463900.0
3,2.0,1060.0,sqft,8910.0,sqft,98106,47.5344,-122.3547,575000.0
2,1.5,1540.0,sqft,4800.0,sqft,98106,47.5344,-122.3547,751000.0
3,2.5,1880.0,sqft,1282.0,sqft,98106,47.5344,-122.3547,725000.0
3,1.0,1120.0,sqft,6096.0,sqft,98106,47.5344,-122.3547,615000.0
2,2.0,1180.0,sqft,792.0,sqft,98106,47.5344,-122.3547,527000.0
3,2.0,1010.0,sqft,6300.0,sqft,98106,47.5344,-122.3547,650000.0
3,2.0,1470.0,sqft,2226.0,sqft,98106,47.5344,-122.3547,600000.0
3,1.0,950.0,sqft,7320.0,sqft,98106,47.5344,-122.3547,589000.0
3,2.0,1237.0,sqft,4760.0,sqft,98106,47.5344,-122.3547,747250.0
4,2.0,2080.0,sqft,7740.0,sqft,98106,47.5344,-122.3547,750000.0
4,2.5,2280.0,sqft,3932.0,sqft,98106,47.5344,-122.3547,1065000.0
3,2.0,1120.0,sqft,5518.0,sqft,98106,47.5344,-122.3547,600000.0
5,2.0,2340.0,sqft,5120.0,sqft,98106,47.5344,-122.3547,613000.0
3,2.0,1250.0,sqft,6000.0,sqft,98106,47.5344,-122.3547,625000.0
3,1.5,1340.0,sqft,5120.0,sqft,98106,47.5344,-122.3547,615000.0
2,1.0,1140.0,sqft,4920.0,sqft,98106,47.5344,-122.3547,528000.0
3,2.5,1650.0,sqft,2752.0,sqft,98106,47.5344,-122.3547,675000.0
4,2.0,1670.0,sqft,7260.0,sqft,98106,47.5344,-122.3547,650000.0
5,3.0,2310.0,sqft,4011.0,sqft,98106,47.5344,-122.3547,780000.0
4,4.0,2250.0,sqft,6600.0,sqft,98106,47.5344,-122.3547,1070000.0
3,2.5,1380.0,sqft,2250.0,sqft,98106,47.5344,-122.3547,590000.0
3,2.0,1400.0,sqft,8910.0,sqft,98106,47.5344,-122.3547,530000.0
4,5.0,2030.0,sqft,5124.0,sqft,98106,47.5344,-122.3547,700000.0
3,1.0,1100.0,sqft,4120.0,sqft,98106,47.5344,-122.3547,468000.0
2,1.0,770.0,sqft,4672.0,sqft,98106,47.5344,-122.3547,560000.0
2,1.0,720.0,sqft,4240.0,sqft,98106,47.5344,-122.3547,525000.0
3,2.5,2000.0,sqft,7440.0,sqft,98106,47.5344,-122.3547,799000.0
2,1.0,1180.0,sqft,4386.0,sqft,98106,47.5344,-122.3547,419000.0
2,1.0,970.0,sqft,0.35,acre,98106,47.5344,-122.3547,386000.0
5,3.0,2550.0,sqft,6604.0,sqft,98106,47.5344,-122.3547,940000.0
3,2.5,1520.0,sqft,1062.0,sqft,98106,47.5344,-122.3547,540700.0
5,2.5,2900.0,sqft,0.23,acre,98106,47.5344,-122.3547,800000.0
3,2.5,1460.0,sqft,1850.0,sqft,98106,47.5344,-122.3547,575000.0
5,3.5,3340.0,sqft,0.24,acre,98106,47.5344,-122.3547,980000.0
3,2.0,1890.0,sqft,6808.0,sqft,98106,47.5344,-122.3547,700000.0
4,2.0,2240.0,sqft,0.31,acre,98106,47.5344,-122.3547,915000.0
3,2.0,1460.0,sqft,5005.0,sqft,98106,47.5344,-122.3547,583000.0
3,1.0,1050.0,sqft,3750.0,sqft,98106,47.5344,-122.3547,399950.0
2,2.0,1080.0,sqft,1175.0,sqft,98106,47.5344,-122.3547,533500.0
4,2.0,1350.0,sqft,5300.0,sqft,98106,47.5344,-122.3547,700000.0
3,2.0,1060.0,sqft,5290.0,sqft,98106,47.5344,-122.3547,599000.0
2,1.0,770.0,sqft,5772.0,sqft,98106,47.5344,-122.3547,490000.0
2,3.0,1276.0,sqft,1187.0,sqft,98106,47.5344,-122.3547,520000.0
2,1.0,1380.0,sqft,6613.0,sqft,98106,47.5344,-122.3547,640000.0
3,3.5,1300.0,sqft,1994.0,sqft,98106,47.5344,-122.3547,583000.0
2,1.5,1088.0,sqft,1518.0,sqft,98106,47.5344,-122.3547,590000.0
2,1.0,976.0,sqft,2064.0,sqft,98106,47.5344,-122.3547,475000.0
3,1.0,910.0,sqft,0.35,acre,98106,47.5344,-122.3547,650000.0
4,2.5,2340.0,sqft,9670.0,sqft,98106,47.5344,-122.3547,870000.0
5,2.0,2160.0,sqft,7620.0,sqft,98106,47.5344,-122.3547,795000.0
2,1.0,2060.0,sqft,6000.0,sqft,98106,47.5344,-122.3547,525000.0
3,2.5,1620.0,sqft,7500.0,sqft,98106,47.5344,-122.3547,875100.0
2,2.5,1580.0,sqft,5000.0,sqft,98106,47.5344,-122.3547,699000.0
4,3.5,3010.0,sqft,4000.0,sqft,98106,47.5344,-122.3547,985000.0
3,2.0,2190.0,sqft,5000.0,sqft,98106,47.5344,-122.3547,840000.0
4,2.5,2250.0,sqft,7650.0,sqft,98106,47.5344,-122.3547,924900.0
1,1.0,980.0,sqft,3700.0,sqft,98106,47.5344,-122.3547,485000.0
1,1.0,780.0,sqft,8960.0,sqft,98106,47.5344,-122.3547,500000.0
3,2.0,1560.0,sqft,4960.0,sqft,98106,47.5344,-122.3547,799000.0
2,1.0,1650.0,sqft,6650.0,sqft,98106,47.5344,-122.3547,630000.0
14,5.0,3884.0,sqft,4968.0,sqft,98106,47.5344,-122.3547,1300000.0
4,2.5,2200.0,sqft,5146.0,sqft,98106,47.5344,-122.3547,825000.0
4,3.0,3020.0,sqft,3254.0,sqft,98106,47.5344,-122.3547,1499000.0
4,2.0,1910.0,sqft,5166.0,sqft,98106,47.5344,-122.3547,685000.0
3,2.0,1760.0,sqft,4000.0,sqft,98106,47.5344,-122.3547,689000.0
2,2.0,950.0,sqft,0.68,acre,98106,47.5344,-122.3547,395000.0
2,2.5,1460.0,sqft,1536.0,sqft,98106,47.5344,-122.3547,599950.0
2,1.5,806.0,sqft,4001.0,sqft,98106,47.5344,-122.3547,510000.0
2,1.5,994.0,sqft,1494.0,sqft,98106,47.5344,-122.3547,580000.0
